,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,Date_recup,Complications,pays
9292,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,OR_ACIER,1994,SATISFAISANT,FEMME,5525.0,48,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,PAYS-BAS
9293,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,OR_ACIER,1990,SATISFAISANT,FEMME,2390.0,42,24,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,0,ALLEMAGNE
9294,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,OR_ACIER,2020,SATISFAISANT,FEMME,13820.0,48,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,ÉTATS-UNIS
9295,CARTIER,TANK,MANUEL,OR_JAUNE,CUIR,1990,SATISFAISANT,FEMME,7800.0,40,23,0.0,ARGENT,SAPHIR,PLIS,OR_JAUNE,2024-04-18,0,FRANCE
9296,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,1987,SATISFAISANT,FEMME,6335.0,42,26,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,ÉTATS-UNIS
9297,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,OR_ACIER,,NEUF,FEMME,4970.0,48,26,10.0,ACIER,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,JAPON
9298,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,OR_ACIER,1990,SATISFAISANT,FEMME,4590.0,40,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,POLOGNE
9299,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,2002,SATISFAISANT,FEMME,5566.0,42,26,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,GRANDE-BRETAGNE
9300,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,OR_ACIER,2013,SATISFAISANT,FEMME,10499.0,55,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,ALLEMAGNE
9301,ROLEX,DATEJUST,AUTOMATIQUE,OR_JAUNE,INCONNUE,,SATISFAISANT,FEMME,4480.0,42,26,0.0,INDETERMINE,SAPHIR,BOUCLE_ARDILLON,OR_JAUNE,2024-04-18,1,ÉTATS-UNIS
9302,AUDEMARS_PIGUET,ROYAL_OAK,AUTOMATIQUE,ACIER,CAOUTCHOUC,2021,SATISFAISANT,FEMME,31500.0,40,37,5.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,2,ALLEMAGNE
9303,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,2022,NEUF,FEMME,8926.0,48,28,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,0,ÉTATS-UNIS
9304,ROLEX,PRECISION,MANUEL,ACIER,CUIR,,SATISFAISANT,FEMME,1652.0,36,20,10.0,ACIER,PLASTIQUE,BOUCLE_ARDILLON,ACIER,2024-04-18,2,GRANDE-BRETAGNE
9305,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,1994,SATISFAISANT,FEMME,3197.0,42,26,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,JAPON
9306,MIDO,OCEAN_STAR,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,FEMME,887.0,80,37,20.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,0,ITALIE
9308,PARMIGIANI_FLEURIER,TONDA,AUTOMATIQUE,ACIER,CUIR,2023,NEUF,FEMME,5696.0,50,33,3.0,PLATINE,SAPHIR,BOUCLE_ARDILLON,ACIER,2024-04-18,1,SUISSE
9310,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,2022,NEUF,FEMME,13816.0,55,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,1,ÉTATS-UNIS
9311,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,SATISFAISANT,FEMME,5402.0,48,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,1,ÉTATS-UNIS
9312,ROLEX,DATEJUST_31,AUTOMATIQUE,OR_ACIER,OR_ACIER,2024,NEUF,FEMME,23900.0,42,31,10.0,INDETERMINE,SAPHIR,PLIS_COUVERT,OR_ACIER,2024-04-18,0,ALLEMAGNE
9313,VACHERON_CONSTANTIN,HISTORIQUES,MANUEL,OR_JAUNE,CUIR,1984,SATISFAISANT,FEMME,4400.0,65,33,3.0,INDETERMINE,SAPHIR,BOUCLE_ARDILLON,OR_JAUNE,2024-04-18,0,GRÈCE
9314,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,2007,SATISFAISANT,FEMME,5687.0,48,26,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,SUISSE
