,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,Date_recup,Complications,pays
842,GRAND_SEIKO,ELEGANCE_COLLECTION,AUTOMATIQUE,ACIER,CUIR,2020,NEUF,HOMME/UNISEXE,4700.0,72,41,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,0,FRANCE
843,ROLEX,GMT-MASTER_II,AUTOMATIQUE,OR_ROSE,OR_ACIER,2022,NEUF,HOMME/UNISEXE,20000.0,70,40,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2024-04-17,2,FRANCE
845,CARTIER,SANTOS,AUTOMATIQUE,ACIER,ACIER,2021,NEUF,HOMME/UNISEXE,6280.0,42,36,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,0,FRANCE
848,SWATCH,MOONSWATCH,QUARTZ,CÉRAMIQUE,TEXTILE,2022,NEUF,HOMME/UNISEXE,360.0,0,42,3.0,CÉRAMIQUE,INCONNUE,PLIS,CÉRAMIQUE,2024-04-17,0,FRANCE
850,TUDOR,PELAGOS,AUTOMATIQUE,CARBONE,TEXTILE,2023,NEUF,HOMME/UNISEXE,3600.0,70,42,20.0,TITANE,SAPHIR,BOUCLE_ARDILLON,TITANE,2024-04-17,3,FRANCE
851,ROLEX,DAYTONA,AUTOMATIQUE,OR_ROSE,CAOUTCHOUC,2019,NEUF,HOMME/UNISEXE,36990.0,72,40,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2024-04-17,1,FRANCE
852,OMEGA,SEAMASTER,MANUEL,ACIER,CUIR,1961,NEUF,HOMME/UNISEXE,775.0,36,35,0.0,ACIER,INCONNUE,BOUCLE_ARDILLON,ACIER,2024-04-17,1,BELGIQUE
854,OMEGA,SPEEDMASTER_PROFESSIONAL,MANUEL,ACIER,ACIER,2024,NEUF,HOMME/UNISEXE,6700.0,50,42,5.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,FRANCE
855,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,2020,NEUF,HOMME/UNISEXE,7550.0,70,36,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,0,BELGIQUE
856,TUDOR,PELAGOS,AUTOMATIQUE,TITANE,TITANE,2023,NEUF,HOMME/UNISEXE,4399.0,70,42,50.0,TITANE,SAPHIR,PLIS,TITANE,2024-04-17,1,BELGIQUE
857,SEIKO,5_SPORTS,AUTOMATIQUE,ACIER,ACIER,2024,NEUF,HOMME/UNISEXE,355.0,41,43,10.0,ACIER,MINÉRAL,PLIS,ACIER,2024-04-17,2,FRANCE
862,OMEGA,SEAMASTER,QUARTZ,ACIER,ACIER,1983,NEUF,HOMME/UNISEXE,2000.0,0,28,0.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-17,1,FRANCE
865,ROLEX,DATEJUST_36,AUTOMATIQUE,ACIER,ACIER,2011,NEUF,HOMME/UNISEXE,9500.0,48,36,10.0,INDETERMINE,SAPHIR,DOUBLE_PLIS,OR_BLANC,2024-04-17,1,FRANCE
867,ROLEX,SEA-DWELLER_4000,AUTOMATIQUE,ACIER,ACIER,2014,NEUF,HOMME/UNISEXE,13900.0,48,40,0.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2024-04-17,1,FRANCE
869,CARTIER,SANTOS_GALBÉE,QUARTZ,OR_ACIER,OR_ACIER,1990,NEUF,HOMME/UNISEXE,3300.0,0,29,3.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-17,1,FRANCE
871,TUDOR,PELAGOS,AUTOMATIQUE,TITANE,TEXTILE,2022,NEUF,HOMME/UNISEXE,3890.0,70,42,20.0,TITANE,SAPHIR,BOUCLE_ARDILLON,TITANE,2024-04-17,0,FRANCE
872,ROLEX,DATEJUST_36,AUTOMATIQUE,ACIER,ACIER,1993,SATISFAISANT,HOMME/UNISEXE,5750.0,42,36,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-17,1,FRANCE
873,TUDOR,BLACK_BAY,AUTOMATIQUE,ACIER,TEXTILE,,NEUF,HOMME/UNISEXE,4200.0,38,41,20.0,ACIER,SAPHIR,PLIS_COUVERT,ACIER,2024-04-17,1,FRANCE
874,ROLEX,DAYTONA,AUTOMATIQUE,OR_JAUNE,CAOUTCHOUC,2022,NEUF,HOMME/UNISEXE,40900.0,72,40,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2024-04-17,1,FRANCE
875,ORIS,PROPILOT_X,AUTOMATIQUE,TITANE,TITANE,2022,NEUF,HOMME/UNISEXE,3190.0,120,39,10.0,TITANE,SAPHIR,PLIS,TITANE,2024-04-17,1,FRANCE
876,HAMILTON,KHAKI_FIELD,AUTOMATIQUE,ACIER,CUIR_VACHE,2023,SATISFAISANT,HOMME/UNISEXE,769.0,80,42,10.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2024-04-17,1,BELGIQUE
879,SEIKO,PROSPEX,AUTOMATIQUE,ACIER,TEXTILE,2023,NEUF,HOMME/UNISEXE,330.0,70,43,20.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2024-04-17,1,FRANCE
880,ROLEX,EXPLORER_II,AUTOMATIQUE,ACIER,ACIER,1978,NEUF,HOMME/UNISEXE,24900.0,48,39,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,FRANCE
