,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,pays
9241,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,,,État non spécifié,FEMME,13585.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,BRÉSIL
9242,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,12500.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,ITALIE
9243,MAURICE-LACROIX,AIKON,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,1600.0,38.0,35.0,20.0,ACIER,SAPHIR,PLIS,ACIER,FRANCE
9244,JAEGER-LECOULTRE,MASTER-COMPRESSOR-LADY-AUTOMATIC,AUTOMATIQUE,ACIER,CUIR,,État non spécifié,FEMME,3950.0,,37.0,20.0,ACIER,SAPHIR,PLIS,ACIER,BELGIQUE
9246,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,12350.0,42.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
9247,AUDEMARS-PIGUET,ROYAL-OAK-CHRONOGRAPH,AUTOMATIQUE,OR_ROSE,,,État non spécifié,FEMME,88000.0,40.0,38.0,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,FRANCE
9248,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,8900.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,ALLEMAGNE
9249,CARTIER,TANK-VERMEIL,MANUEL,ARGENT,,,État non spécifié,FEMME,1440.0,44.0,22.0,,ARGENT,MINÉRAL,BOUCLE_ARDILLON,ARGENT,ÉTATS-UNIS
9250,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,4394.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9251,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,9537.0,48.0,31.0,10.0,,SAPHIR,PLIS,OR,ESPAGNE
9253,TUDOR,SUBMARINER,AUTOMATIQUE,ACIER,ACIER,,Satisfaisant,FEMME,3450.0,38.0,31.0,20.0,ACIER,SAPHIR,PLIS,ACIER,ESPAGNE
9254,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,10200.0,55.0,28.0,10.0,,SAPHIR,PLIS,OR,ITALIE
9255,PATEK-PHILIPPE,CALATRAVA,MANUEL,OR_JAUNE,,,Satisfaisant,FEMME,11880.0,44.0,37.0,3.0,,SAPHIR,BOUCLE_ARDILLON,OR,ÉTATS-UNIS
9256,ROLEX,OYSTER-PERPETUAL-26,AUTOMATIQUE,ACIER,ACIER,,Satisfaisant,FEMME,3437.0,48.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,JAPON
9257,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,6950.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,PAYS-BAS
9258,BALL,ENGINEER-II-OHIO,AUTOMATIQUE,ACIER,,,État non spécifié,FEMME,,38.0,31.0,10.0,ACIER,SAPHIR,,ACIER,GRANDE-BRETAGNE
9260,ROLEX,YACHT-MASTER,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,4899.0,48.0,29.0,30.0,PLATINE,SAPHIR,PLIS,PLATINE,ALLEMAGNE
9261,CARTIER,21-MUST-DE-CARTIER,MANUEL,ARGENT,CUIR,,État non spécifié,FEMME,2775.0,,24.0,,,,BOUCLE_ARDILLON,ARGENT,ÉTATS-UNIS
9262,CARTIER,SANTOS,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,2500.0,42.0,39.0,10.0,ACIER,SAPHIR,PLIS,ACIER,SLOVÉNIE
9263,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,12632.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ÉTATS-UNIS
9264,ROLEX,YACHT-MASTER,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,5800.0,48.0,29.0,10.0,PLATINE,SAPHIR,PLIS,PLATINE,ITALIE
9265,ROLEX,OYSTER-PERPETUAL,AUTOMATIQUE,ACIER,ACIER,,Satisfaisant,FEMME,2250.0,42.0,25.0,2.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
9266,ROLEX,OYSTER-PERPETUAL-28,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,5500.0,55.0,28.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ESPAGNE
9267,ROLEX,YACHT-MASTER,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,6729.0,48.0,35.0,10.0,PLATINE,SAPHIR,PLIS,PLATINE,ÉTATS-UNIS
9269,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,6500.0,48.0,31.0,5.0,,SAPHIR,PLIS,OR,ESPAGNE
9270,ROLEX,OYSTER-PERPETUAL-LADY-DATE,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,4501.0,42.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,GRANDE-BRETAGNE
9271,TUDOR,PRINCE-DATE,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,2000.0,38.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ITALIE
9272,BREITLING,CHRONOMAT-36,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,4855.0,42.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ÉTATS-UNIS
9273,PATEK-PHILIPPE,TWENTY~4,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,25000.0,45.0,36.0,3.0,ACIER,SAPHIR,PLIS,ACIER,ITALIE
9274,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,12006.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9275,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,10080.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,SUISSE
9277,ROLEX,YACHT-MASTER,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,5699.0,48.0,29.0,10.0,PLATINE,SAPHIR,PLIS,PLATINE,ALLEMAGNE
9278,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,2500.0,42.0,25.0,,,SAPHIR,PLIS,OR,ALLEMAGNE
9280,ROLEX,YACHT-MASTER,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,7254.0,48.0,29.0,10.0,,SAPHIR,PLIS,OR,AFRIQUE_DU_SUD
9281,CARTIER,CLÉ-DE-CARTIER,AUTOMATIQUE,OR_ROSE,ACIER,,État non spécifié,FEMME,,48.0,35.0,3.0,ACIER,SAPHIR,PLIS,ACIER,ÉTATS-UNIS
9282,CARTIER,SANTOS-GALBÉE,AUTOMATIQUE,ACIER,ACIER,,Satisfaisant,FEMME,3104.0,42.0,24.0,3.0,ACIER,SAPHIR,PLIS,ACIER,JAPON
9283,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,4590.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,SUISSE
9284,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,3799.0,48.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
9285,FREDERIQUE-CONSTANT,CLASSICS-DELIGHT,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,795.0,42.0,33.0,3.0,ACIER,SAPHIR,PLIS,ACIER,PAYS-BAS
9286,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,3890.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,POLOGNE
9287,OMEGA,CONSTELLATION,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,4500.0,50.0,29.0,5.0,ACIER,SAPHIR,PLIS,ACIER,ITALIE
9288,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,4950.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,ITALIE
9289,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,7366.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9290,TUDOR,STYLE,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,1794.0,38.0,34.0,10.0,ACIER,SAPHIR,PLIS,ACIER,HONG_KONG
9291,CARTIER,TANK-VERMEIL,MANUEL,ARGENT,,,État non spécifié,FEMME,990.0,44.0,28.0,,ARGENT,MINÉRAL,BOUCLE_ARDILLON,ARGENT,FRANCE
9292,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,5525.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,PAYS-BAS
9293,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,2390.0,42.0,24.0,10.0,,SAPHIR,PLIS,OR,ALLEMAGNE
9294,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,13820.0,48.0,31.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9295,CARTIER,TANK,MANUEL,OR_JAUNE,CUIR,,État non spécifié,FEMME,7800.0,40.0,23.0,,ARGENT,SAPHIR,PLIS,OR,FRANCE
9296,ROLEX,OYSTER-PERPETUAL-LADY-DATE,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,6335.0,42.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ÉTATS-UNIS
9297,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,4970.0,48.0,26.0,10.0,ACIER,SAPHIR,PLIS,OR,JAPON
9299,ROLEX,OYSTER-PERPETUAL-LADY-DATE,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,5566.0,42.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,GRANDE-BRETAGNE
9300,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,10499.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,ALLEMAGNE
9301,ROLEX,DATEJUST,AUTOMATIQUE,OR_JAUNE,,,État non spécifié,FEMME,4480.0,42.0,26.0,,,SAPHIR,BOUCLE_ARDILLON,OR,ÉTATS-UNIS
9302,AUDEMARS-PIGUET,ROYAL-OAK-OFFSHORE-LADY,AUTOMATIQUE,ACIER,CAOUTCHOUC,,État non spécifié,FEMME,31500.0,40.0,37.0,5.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
9303,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,8926.0,48.0,28.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ÉTATS-UNIS
9304,ROLEX,PRECISION,MANUEL,ACIER,CUIR,,Satisfaisant,FEMME,1652.0,36.0,20.0,10.0,ACIER,PLASTIQUE,BOUCLE_ARDILLON,ACIER,GRANDE-BRETAGNE
9305,ROLEX,OYSTER-PERPETUAL-LADY-DATE,AUTOMATIQUE,ACIER,ACIER,,Satisfaisant,FEMME,3197.0,42.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,JAPON
9306,MIDO,OCEAN-STAR,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,887.0,80.0,36.0,20.0,ACIER,SAPHIR,PLIS,ACIER,ITALIE
9307,JAEGER-LECOULTRE,VINTAGE,MANUEL,OR_ACIER,CUIR,,État non spécifié,FEMME,1500.0,,14.0,,ACIER,MINÉRAL,BOUCLE_ARDILLON,ACIER,ITALIE
9308,PARMIGIANI-FLEURIER,TONDA,AUTOMATIQUE,ACIER,CUIR,,Neuf,FEMME,5696.0,50.0,33.0,3.0,PLATINE,SAPHIR,BOUCLE_ARDILLON,ACIER,SUISSE
9309,PATEK-PHILIPPE,GOLDEN-ELLIPSE,MANUEL,OR_JAUNE,CUIR,,État non spécifié,FEMME,7000.0,,23.0,,,SAPHIR,BOUCLE_ARDILLON,OR,ITALIE
9310,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,13816.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9311,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,5402.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9312,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,23900.0,42.0,31.0,10.0,,SAPHIR,PLIS,ACIER,ALLEMAGNE
9313,VACHERON-CONSTANTIN,HISTORIQUES,MANUEL,OR_JAUNE,CUIR,,État non spécifié,FEMME,4400.0,65.0,33.0,3.0,,SAPHIR,BOUCLE_ARDILLON,OR,GRÈCE
9314,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,5687.0,48.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,SUISSE
9315,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Satisfaisant,FEMME,3400.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,ALLEMAGNE
9316,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,3190.0,48.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
9317,ROLEX,LADY-DATEJUST-PEARLMASTER,AUTOMATIQUE,OR_JAUNE,OR,,État non spécifié,FEMME,19750.0,48.0,29.0,10.0,,SAPHIR,PLIS,OR,GRANDE-BRETAGNE
9318,OMEGA,DE-VILLE-LADYMATIC,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,,50.0,18.0,10.0,ARGENT,SAPHIR,PLIS,ARGENT,LITUANIE
9319,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,,,État non spécifié,FEMME,9983.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,GRANDE-BRETAGNE
9320,ROLEX,OYSTER-PERPETUAL-LADY-DATE,AUTOMATIQUE,OR_ACIER,ACIER,,Satisfaisant,FEMME,6374.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,POLOGNE
9321,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,11132.0,48.0,31.0,10.0,,SAPHIR,PLIS,OR,GRANDE-BRETAGNE
9322,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,18083.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9323,ROLEX,OYSTER-PERPETUAL,AUTOMATIQUE,OR_ACIER,ACIER,,Satisfaisant,FEMME,2490.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,ALLEMAGNE
9324,ORIS,BIG-CROWN-POINTER-DATE,AUTOMATIQUE,ACIER,CUIR,,Satisfaisant,FEMME,,38.0,28.0,5.0,BRONZE,SAPHIR,PLIS,BRONZE,SINGAPOUR
9326,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,Satisfaisant,FEMME,9330.0,48.0,31.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9328,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Neuf,FEMME,18999.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9329,CARTIER,SANTOS,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,1790.0,42.0,25.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
9330,CARTIER,TANK,MANUEL,ARGENT,CUIR,,Satisfaisant,FEMME,1903.0,40.0,23.0,,ARGENT,MINÉRAL,BOUCLE_ARDILLON,ARGENT,JAPON
9331,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,8260.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,GRANDE-BRETAGNE
9333,HUBLOT,CLASSIC-FUSION,AUTOMATIQUE,OR_ACIER,CAOUTCHOUC,,État non spécifié,FEMME,2500.0,42.0,42.0,5.0,TITANE,SAPHIR,PLIS,TITANE,ALLEMAGNE
9334,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,11500.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,FRANCE
9335,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,4450.0,48.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
9336,PATEK-PHILIPPE,TRAVEL-TIME,MANUEL,OR_JAUNE,,,État non spécifié,FEMME,10989.0,,29.0,,,SAPHIR,BOUCLE_ARDILLON,OR,ALLEMAGNE
9337,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,7175.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,GRANDE-BRETAGNE
9339,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Neuf,FEMME,20038.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,GRANDE-BRETAGNE
9340,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,6790.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,ITALIE
9341,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,12583.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9343,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,8668.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ÉTATS-UNIS
9345,CARTIER,SANTOS-GALBÉE,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,2874.0,42.0,24.0,3.0,ACIER,SAPHIR,PLIS,ACIER,ÉTATS-UNIS
9346,ROLEX,DATEJUST-36,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,11500.0,70.0,36.0,10.0,,SAPHIR,PLIS,OR,FRANCE
9347,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,CUIR,,État non spécifié,FEMME,1299.0,42.0,25.0,,,SAPHIR,BOUCLE_ARDILLON,OR,PORTUGAL
9348,PATEK-PHILIPPE,GOLDEN-ELLIPSE,MANUEL,OR_JAUNE,CUIR,,État non spécifié,FEMME,14400.0,,28.0,,,SAPHIR,BOUCLE_ARDILLON,OR,SUISSE
9349,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,5251.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,PAYS-BAS
9350,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,13102.0,55.0,28.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9351,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,4275.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,ALLEMAGNE
9352,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,7175.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,GRANDE-BRETAGNE
9353,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ÉTATS-UNIS
9354,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,14500.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,FRANCE
9355,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,6313.0,42.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,GRANDE-BRETAGNE
9356,OMEGA,GENÈVE,MANUEL,ACIER,ACIER,,État non spécifié,FEMME,549.0,48.0,26.0,,ACIER,MINÉRAL,PLIS,ACIER,SLOVÉNIE
9357,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,9490.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ITALIE
9358,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,,,État non spécifié,FEMME,17230.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,GRANDE-BRETAGNE
9359,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Satisfaisant,FEMME,5177.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,ÉTATS-UNIS
9360,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Neuf,FEMME,21188.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,GRANDE-BRETAGNE
9364,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Satisfaisant,FEMME,3500.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,ALLEMAGNE
9365,BREGUET,MARINE,AUTOMATIQUE,OR_JAUNE,,,État non spécifié,FEMME,14780.0,65.0,39.0,10.0,ACIER,SAPHIR,PLIS,OR,ALLEMAGNE
9366,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,6950.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ITALIE
9367,ROLEX,OYSTER-PERPETUAL-LADY-DATE,AUTOMATIQUE,OR_ACIER,ACIER,,Satisfaisant,FEMME,2868.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,SUISSE
9368,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,3900.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,ESPAGNE
9369,OMEGA,GENÈVE,MANUEL,ACIER,ACIER,,Satisfaisant,FEMME,450.0,42.0,30.0,2.0,ACIER,MINÉRAL,PLIS,ACIER,ESPAGNE
9370,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Satisfaisant,FEMME,3950.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,ESPAGNE
9371,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,4700.0,42.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ITALIE
9372,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,,,État non spécifié,FEMME,6584.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,GRANDE-BRETAGNE
9373,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,23670.0,48.0,40.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,ALLEMAGNE
9374,JAEGER-LECOULTRE,GRANDE-REVERSO-ULTRA-THIN,MANUEL,ACIER,,,Neuf,HOMME,6910.0,,27.0,3.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,ÉTATS-UNIS
9376,CARTIER,PASHA-SEATIMER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,3450.0,42.0,40.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,FRANCE
9377,TUDOR,GLAMOUR-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,2000.0,38.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,BELGIQUE
9378,ALPINA,SEASTRONG,AUTOMATIQUE,ACIER,CAOUTCHOUC,,État non spécifié,HOMME,550.0,,44.0,30.0,,SAPHIR,BOUCLE_ARDILLON,ACIER,ITALIE
9379,MORITZ-GROSSMANN,BENU,MANUEL,OR_ROUGE,,,Bon,HOMME,29701.0,42.0,41.0,3.0,,SAPHIR,PLIS,OR,JAPON
9380,TISSOT,T-TOUCH-EXPERT,,TITANE,CAOUTCHOUC,,Neuf,HOMME,450.0,,,10.0,,SAPHIR,PLIS,ACIER,FRANCE
9381,PANERAI,LUMINOR-POWER-RESERVE,AUTOMATIQUE,ACIER,,,Bon,HOMME,4314.0,42.0,44.0,30.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,BELGIQUE
9383,OMEGA,SPEEDMASTER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,2874.0,44.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
9384,ROLEX,DAY-DATE-36,AUTOMATIQUE,OR_BLANC,,,Bon,HOMME,20900.0,48.0,36.0,10.0,,SAPHIR,PLIS,OR,FRANCE
9386,IWC,PILOT-MARK,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,4300.0,42.0,40.0,6.0,ACIER,SAPHIR,PLIS,ACIER,ITALIE
9387,ROLEX,SEA-DWELLER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,13600.0,70.0,43.0,,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,ITALIE
9389,SWATCH,MOONSWATCH,MANUEL,CÉRAMIQUE,TEXTILE,,Neuf,HOMME,,,42.0,3.0,CÉRAMIQUE,,PLIS,CÉRAMIQUE,SUISSE
9390,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,12000.0,48.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,FRANCE
9391,TISSOT,PRX,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,,70.0,40.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,JAPON
9393,TUDOR,BLACK-BAY-GMT,AUTOMATIQUE,OR_ACIER,TEXTILE,,Neuf,HOMME,3790.0,70.0,41.0,20.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,BELGIQUE
9395,MAURICE-LACROIX,AIKON,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,,38.0,38.0,30.0,BRONZE,SAPHIR,PLIS,ACIER,GRANDE-BRETAGNE
9396,ROLEX,DAYTONA,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,17425.0,72.0,40.0,10.0,,SAPHIR,PLIS,OR,ALLEMAGNE
9398,PATEK-PHILIPPE,NAUTILUS,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,97000.0,55.0,40.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,ALLEMAGNE
9399,SEIKO,GS,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,3590.0,80.0,35.0,10.0,ACIER,SAPHIR,PLIS,ACIER,FRANCE
