,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,pays
39334,ROLEX,DAYTONA,AUTOMATIQUE,OR_ACIER,ACIER,2008.0,Bon,HOMME,28820.0,72.0,40.0,10.0,OR,SAPHIR,DOUBLE_PLIS,OR,FRANCE
39335,OMEGA,SPEEDMASTER-MARK-III,AUTOMATIQUE,ACIER,ACIER,1977.0,Bon,HOMME,3290.0,,41.0,,ACIER,MINÉRAL,PLIS,ACIER,FRANCE
39336,ROLEX,GMT-MASTER-II,AUTOMATIQUE,OR_ROSE,OR,2022.0,Bon,HOMME,37100.0,70.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,BELGIQUE
39337,CARTIER,PASHA-SEATIMER,AUTOMATIQUE,ACIER,ACIER,2014.0,Bon,HOMME,3850.0,,40.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,BELGIQUE
39339,TAG-HEUER,MONACO,AUTOMATIQUE,CARBONE,CUIR,2018.0,Bon,HOMME,7900.0,80.0,39.0,10.0,TITANE,SAPHIR,DOUBLE_PLIS,TITANE,FRANCE
39340,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,1995.0,Bon,HOMME,9900.0,50.0,40.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,FRANCE
39341,ROLEX,DATEJUST-36,AUTOMATIQUE,ACIER,ACIER,1977.0,Bon,HOMME,6060.0,70.0,36.0,,OR,PLEXIGLAS,DOUBLE_PLIS,OR,FRANCE
39343,SWATCH,MOONSWATCH,QUARTZ,CÉRAMIQUE,TEXTILE,2024.0,Neuf,HOMME,370.0,70.0,42.0,3.0,CÉRAMIQUE,PLEXIGLAS,PLIS,CÉRAMIQUE,FRANCE
39344,ROLEX,DAYTONA,AUTOMATIQUE,OR_BLANC,CAOUTCHOUC,2022.0,Neuf,HOMME,,72.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,FRANCE
39346,OMEGA,CONSTELLATION-QUARTZ,QUARTZ,ACIER,ACIER,2010.0,Bon,HOMME,1400.0,,35.0,10.0,ACIER,SAPHIR,PLIS,ACIER,BELGIQUE
39351,VACHERON-CONSTANTIN,PATRIMONY,AUTOMATIQUE,OR_JAUNE,CUIR,1960.0,Bon,HOMME,4900.0,40.0,33.0,,OR,PLEXIGLAS,BOUCLE_ARDILLON,OR,FRANCE
39353,CARTIER,PASHA-C,AUTOMATIQUE,ACIER,ACIER,2004.0,Bon,HOMME,1990.0,42.0,35.0,,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,BELGIQUE
39355,ROLEX,DAYTONA,AUTOMATIQUE,ACIER,ACIER,1966.0,Bon,HOMME,83460.0,50.0,37.0,,ACIER,PLEXIGLAS,PLIS,ACIER,FRANCE
39356,CARTIER,RONDE-SOLO-DE-CARTIER,QUARTZ,ACIER,ACIER,2011.0,Bon,,3060.0,,36.0,3.0,,,PLIS,,FRANCE
39357,PIAGET,POLO,AUTOMATIQUE,ACIER,ACIER,2022.0,Bon,HOMME,23900.0,40.0,42.0,3.0,OR,SAPHIR,BOUCLE_ARDILLON,ACIER,FRANCE
39358,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,2023.0,Bon,HOMME,15000.0,70.0,41.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,FRANCE
39359,BREITLING,NAVITIMER,AUTOMATIQUE,ACIER,CUIR,1960.0,Bon,HOMME,13800.0,70.0,40.0,,ACIER,PLEXIGLAS,BOUCLE_ARDILLON,ACIER,FRANCE
39361,HUBLOT,BIG-BANG-44-MM,AUTOMATIQUE,ACIER,CAOUTCHOUC,2013.0,Bon,HOMME,7190.0,42.0,44.0,10.0,ACIER,SAPHIR,PLIS,ACIER,BELGIQUE
39363,ROLEX,DAYTONA,AUTOMATIQUE,OR_JAUNE,OR,2003.0,Bon,HOMME,41999.0,72.0,40.0,10.0,OR,SAPHIR,PLIS,OR,FRANCE
39364,TUDOR,PELAGOS,AUTOMATIQUE,CARBONE,TEXTILE,2024.0,État non spécifié,HOMME,5032.0,70.0,43.0,20.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
39366,CARTIER,SANTOS-DUMONT,AUTOMATIQUE,OR_ROSE,CUIR,2020.0,Bon,HOMME,14500.0,,38.0,3.0,ACIER,SAPHIR,PLIS,ACIER,FRANCE
39367,IWC,PORTUGUESE-CHRONOGRAPH,AUTOMATIQUE,ACIER,,2009.0,Bon,HOMME,3700.0,44.0,41.0,3.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,FRANCE
39370,IWC,AQUATIMER-AUTOMATIC-2000,AUTOMATIQUE,TITANE,CAOUTCHOUC,2010.0,Bon,HOMME,2950.0,42.0,42.0,120.0,TITANE,SAPHIR,BOUCLE_ARDILLON,TITANE,FRANCE
39371,ZENITH,EL-PRIMERO,AUTOMATIQUE,OR_JAUNE,,1992.0,Neuf,HOMME,8000.0,50.0,30.0,5.0,ACIER,SAPHIR,BOUCLE_ARDILLON,OR,ITALIE
39372,AUDEMARS-PIGUET,ROYAL-OAK-CHRONOGRAPH,AUTOMATIQUE,OR_BLANC,OR,1998.0,Bon,HOMME,59800.0,40.0,39.0,3.0,OR,SAPHIR,PLIS,OR,FRANCE
39373,ROLEX,DAYTONA,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,,72.0,40.0,10.0,OR,SAPHIR,PLIS,ACIER,FRANCE
39375,TUDOR,PRINCE-OYSTERDATE,AUTOMATIQUE,OR_ACIER,ACIER,1980.0,Bon,HOMME,3000.0,38.0,38.0,10.0,OR,PLEXIGLAS,BOUCLE_ARDILLON,OR,FRANCE
39376,ROLEX,YACHT-MASTER-40,AUTOMATIQUE,OR_ACIER,ACIER,2005.0,Bon,HOMME,11500.0,50.0,40.0,10.0,OR,SAPHIR,PLIS,OR,ALLEMAGNE
39379,CARTIER,TORTUE,AUTOMATIQUE,PLATINE,CUIR,2006.0,Bon,,49500.0,,38.0,,,SAPHIR,PLIS,,FRANCE
39380,BLANCPAIN,FIFTY-FATHOMS,AUTOMATIQUE,ACIER,CAOUTCHOUC,2021.0,Bon,HOMME,21450.0,100.0,40.0,30.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,HONGRIE
39382,JAEGER-LECOULTRE,AMVOX,AUTOMATIQUE,ACIER,CUIR,2011.0,Bon,HOMME,6490.0,,42.0,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,BELGIQUE
39387,ROLEX,DATEJUST-36,AUTOMATIQUE,OR_JAUNE,OR,1991.0,État non spécifié,HOMME,13990.0,48.0,36.0,10.0,OR,SAPHIR,BOUCLE_ARDILLON,OR,FRANCE
39389,ROLEX,EXPLORER,AUTOMATIQUE,ACIER,ACIER,1966.0,Satisfaisant,HOMME,26750.0,48.0,36.0,10.0,ACIER,PLEXIGLAS,PLIS,ACIER,FRANCE
39390,ROLEX,DAYTONA,AUTOMATIQUE,ACIER,ACIER,1991.0,Bon,HOMME,27610.0,72.0,40.0,10.0,OR,SAPHIR,DOUBLE_PLIS,OR,FRANCE
39391,CARTIER,COUGAR,QUARTZ,OR_ACIER,ACIER,1995.0,Bon,HOMME,1800.0,,33.0,3.0,OR,SAPHIR,BOUCLE_ARDILLON,OR,FRANCE
39395,TAG-HEUER,AQUARACER-300M,AUTOMATIQUE,TITANE,TEXTILE,2018.0,Bon,HOMME,2950.0,38.0,43.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,TITANE,BELGIQUE
39396,ROLEX,DATEJUST-36,AUTOMATIQUE,ACIER,ACIER,1968.0,Satisfaisant,HOMME,5500.0,40.0,36.0,10.0,OR,PLEXIGLAS,PLIS,ACIER,FRANCE
39398,CARTIER,BAIGNOIRE,AUTOMATIQUE,OR_JAUNE,,,Bon,HOMME,39800.0,36.0,21.0,,OR,SAPHIR,PLIS,OR,FRANCE
39399,ROLEX,DAYTONA,AUTOMATIQUE,OR_ACIER,ACIER,2016.0,Bon,HOMME,17699.0,72.0,40.0,10.0,OR,SAPHIR,PLIS,OR,HONGRIE
39400,ALPINA,SEASTRONG,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,HOMME,1595.0,38.0,41.0,20.0,CÉRAMIQUE,SAPHIR,PLIS,ARGENT,FRANCE
39403,BELL-&-ROSS,VINTAGE,AUTOMATIQUE,ACIER,CAOUTCHOUC,2018.0,Bon,HOMME,3317.0,,41.0,10.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,FRANCE
39404,TAG-HEUER,CARRERA-CALIBRE-7,AUTOMATIQUE,ACIER,ACIER,2010.0,Bon,HOMME,1800.0,,39.0,5.0,ACIER,SAPHIR,PLIS,ACIER,BELGIQUE
