,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,comptage_fonctions,pays
2398,ROLEX,DATEJUST-36,AUTOMATIQUE,OR_ACIER,ACIER,,Satisfaisant,HOMME,4190.0,42.0,36.0,10.0,,SAPHIR,PLIS,OR,1,BELGIQUE
2400,TISSOT,COUTURIER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,350.0,45.0,43.0,10.0,,SAPHIR,PLIS,ACIER,2,BELGIQUE
2401,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,21387.0,70.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,ÉTATS-UNIS
2402,ROLEX,DATEJUST-36,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9400.0,70.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,ITALIE
2403,ROLEX,DATEJUST-41,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,18380.0,70.0,41.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
2404,TISSOT,PRX,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,1000.0,,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
2406,BLANCPAIN,AIR-COMMAND,AUTOMATIQUE,ACIER,CUIR,,Neuf,HOMME,17500.0,,42.0,3.0,CÉRAMIQUE,SAPHIR,BOUCLE_ARDILLON,CÉRAMIQUE,1,BELGIQUE
2407,PATEK-PHILIPPE,CALATRAVA,AUTOMATIQUE,OR_JAUNE,,,Bon,HOMME,24850.0,45.0,36.0,6.0,,SAPHIR,BOUCLE_ARDILLON,OR,4,FRANCE
2408,MICHEL-HERBELIN,NEWPORT,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,220.0,,40.0,5.0,ACIER,SAPHIR,,ACIER,2,FRANCE
2410,SEIKO,5,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,460.0,40.0,40.0,3.0,ACIER,MINÉRAL,PLIS,ACIER,0,FRANCE
2411,OMEGA,SEAMASTER-DEVILLE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,1290.0,50.0,34.0,,ACIER,,DOUBLE_PLIS,ACIER,1,FRANCE
2412,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,22000.0,70.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,FRANCE
2413,ROLEX,DATEJUST-41,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9250.0,70.0,41.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
2414,CARTIER,SANTOS,AUTOMATIQUE,ACIER,CAOUTCHOUC,,Bon,HOMME,7200.0,48.0,43.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,BELGIQUE
2415,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,14500.0,70.0,41.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,FRANCE
2416,CARTIER,TANK-FRANÇAISE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,5024.0,37.0,36.0,3.0,ACIER,SAPHIR,PLIS,ACIER,0,ÉTATS-UNIS
2417,OMEGA,SEAMASTER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,1350.0,40.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,BELGIQUE
2418,ROLEX,DATEJUST-41,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,HOMME,10900.0,70.0,41.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
